id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
100011,presentation,"Role: Sales engineer creating biotech product demos.

Task: Build interactive product presentation for biotech clients.

Instructions:
1. Company overview (2 slides)
2. Product features with screenshots
3. ROI calculator section
4. Implementation timeline

Constraints:
- Customizable for different clients
- Professional color scheme
- Embedded video demos

Output Format: PowerPoint with embedded media and Excel calculator.

Company: Horizon Labs
Audience: customers
Ref: 3726-BIO",high,100,A,0.69,4,5,4,4,Lacks prioritization | No accessibility considerations | Assumptions documented | Missing examples
100012,code,"code education help

Company: Global Solutions
Timeline: Q4 2024
Ref: 7930-EDU",low,49,F,0.89,2,2,2,2,Missing glossary | Stakeholders identified | Unclear ownership | Compliance requirements listed | No fallback options
100013,data_analysis,"Looking for a data_analysis about agriculture trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Audience: administrators
Ref: 7274-AGR",medium,75,C,0.31,3,3,4,3,Well-structured sections | Incomplete background info
100014,image,"Create image content for biotech use case. Structure: problem, solution, results. Make it persuasive.

Audience: partners
Ref: 9411-BIO",medium,70,C,0.45,4,3,3,3,Measurable outcomes stated | No accessibility considerations | Dependencies outlined | Lacks success criteria
100015,presentation,"Role: Executive presentation designer for pharmaceutical leadership.

Task: Create investor pitch deck (12-15 slides) for pharmaceutical startup.

Instructions:
1. Problem/Solution framework
2. Market size and opportunity
3. Business model explanation
4. Financial projections (3-year)

Constraints:
- Clean, minimalist design
- Data visualizations for key metrics
- Consistent typography

Output Format: PowerPoint file with speaker notes.

Audience: stakeholders
Ref: 6266-PHA",high,100,A,0.77,4,4,4,5,Technical requirements clear | Inconsistent terminology | Reference materials cited | Scope clearly defined
100016,creative,"Role: Poet commissioned for banking anthology.

Task: Write collection of 10 poems exploring banking themes.

Instructions:
1. Varied forms (sonnet, free verse, haiku)
2. Metaphorical language
3. Emotional resonance
4. Thematic connections

Constraints:
- Original imagery
- Consistent voice
- Publication-ready

Output Format: Manuscript with author notes.

Product: technology framework
Ref: 3174-BAN",high,86,B,0.32,4,5,4,5,Incomplete background info | Lacks prioritization | Inconsistent terminology
100017,code,"Develop a code about healthcare strategy. Include market analysis and recommendations. Business audience.

Audience: sales team
Ref: 3616-HEA",medium,72,C,0.5,3,4,2,2,No review process | Measurable outcomes stated | Ambiguous target audience
100018,document,"automotive document please

Audience: administrators
Timeline: Q1 2024
Ref: 5870-AUT",low,32,F,0.2,2,1,1,2,Missing examples | Feedback mechanism included | Comprehensive context provided | Lacks formatting guidance | No fallback options
100019,report,"report on nonprofit topic

Product: healthcare suite
Ref: 5203-NON",low,28,F,0.21,2,2,1,2,Ambiguous target audience | Actionable instructions | Assumptions documented | Strong constraints provided
100020,data_analysis,"data_analysis needed asap aerospace

Product: biotech solution
Timeline: annual
Ref: 1486-AER",low,56,F,0.29,3,1,1,1,Timeline specified | Unclear ownership | Measurable outcomes stated | Technical requirements clear
100021,presentation,"Role: Conference speaker preparing healthcare keynote.

Task: Design 45-minute keynote presentation on healthcare future trends.

Instructions:
1. Opening story/hook (5 min)
2. Three main content sections (10 min each)
3. Case study examples
4. Actionable takeaways

Constraints:
- High-impact visuals
- Minimal text per slide
- Seamless transitions

Output Format: Keynote/PowerPoint with presentation guide.

Ref: 4591-HEA",high,99,A,0.4,4,5,5,5,Version control noted | Reference materials cited
100022,code,"code on telecommunications topic

Company: Synergy Works
Audience: board members
Ref: 7343-TEL",low,33,F,0.89,3,1,1,2,Vague objective statement | Comprehensive context provided | Missing data source
100023,email,"Develop a email about energy strategy. Include market analysis and recommendations. Business audience.

Product: hospitality service
Ref: 8284-ENE",medium,66,D,0.31,2,3,2,2,No deadline specified | Missing data source | Measurable outcomes stated | Unclear ownership | Incomplete background info
100024,code,"Role: You are a senior Python developer specializing in manufacturing applications.

Task: Create a robust data processing pipeline that ingests CSV files, performs validation, and outputs cleaned data to a PostgreSQL database.

Instructions:
1. Implement error handling for malformed data
2. Use pandas for data manipulation
3. Include logging at each stage
4. Write unit tests with pytest

Constraints:
- Maximum memory usage: 2GB
- Processing time: <5 minutes for 1M rows
- Python 3.9+ compatible

Output Format: Complete Python module with docstrings and type hints.

Company: Pinnacle Co
Audience: customers
Ref: 6590-MAN",high,95,A,0.27,5,5,4,4,No review process | Missing budget context | Version control noted | Lacks prioritization | Lacks formatting guidance
100025,report,"Need assistance with report for entertainment client. Key points to cover: overview, benefits, implementation. Thanks!

Company: Apex Enterprises
Product: hospitality application
Timeline: Q3 2024
Ref: 7673-ENT",medium,74,C,0.49,3,2,4,4,Dependencies outlined | Professional tone maintained | Success metrics defined
100026,creative,"hospitality creative please

Product: transportation portal
Ref: 8060-HOS",low,63,D,0.52,1,2,2,2,No accessibility considerations | Comprehensive context provided
100027,image,"Role: Digital artist specializing in insurance visualizations.

Task: Create an infographic showing insurance market trends for 2024.

Instructions:
1. Research current statistics
2. Design data visualizations (charts, graphs)
3. Use consistent iconography
4. Include source citations

Constraints:
- A4 portrait format
- Print-ready (300 DPI)
- Brand colors: teal and white

Output Format: High-resolution PNG and editable AI file.

Company: Nexus Group
Product: transportation product
Ref: 5292-INS",high,97,A,0.26,5,4,5,5,Missing glossary | Well-structured sections | Missing examples | Unclear ownership | Strong constraints provided
100028,email,"legal email please

Product: biotech tool
Ref: 9999-LEG",low,22,F,0.82,2,1,1,2,Reference materials cited | No review process | Lacks success criteria | Output format specified | Missing glossary
100029,code,"help with consulting code

Audience: customers
Ref: 1098-CON",low,27,F,0.95,2,2,1,2,Success metrics defined | No quality standards | Actionable instructions | Dependencies outlined
100030,document,"Role: Grant writer for marketing nonprofit.

Task: Write compelling grant proposal for marketing initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Product: research service
Timeline: Q4 2024
Ref: 8125-MAR",high,90,A,0.72,5,4,5,5,Incomplete background info | No review process | Output format specified | Missing data source
100031,code,"Create code content for manufacturing use case. Structure: problem, solution, results. Make it persuasive.

Company: Acme Corp
Audience: customers
Ref: 4119-MAN",medium,72,C,0.46,2,4,2,4,No risk assessment | Specific deliverables mentioned | Technical requirements clear | Inconsistent terminology | Lacks formatting guidance
100032,other,"make other for work consulting

Timeline: FY2024
Ref: 2124-CON",low,26,F,0.16,2,2,1,2,Incomplete background info | Actionable instructions | Clear role definition | Inconsistent terminology | No escalation path
100033,report,"Role: Sustainability consultant for banking companies.

Task: Produce ESG (Environmental, Social, Governance) impact report.

Instructions:
1. Carbon footprint analysis
2. Social impact metrics
3. Governance structure review
4. Future commitments

Constraints:
- GRI standards compliance
- Third-party verification
- Stakeholder engagement

Output Format: PDF report with data appendices.

Product: insurance system
Audience: employees
Ref: 1919-BAN",high,90,A,0.77,4,4,5,5,Ambiguous target audience | No quality standards | Compliance requirements listed
100034,other,"Role: Training developer for aerospace certification.

Task: Design certification program curriculum for aerospace professionals.

Instructions:
1. Learning objectives
2. Module structure (10 modules)
3. Assessment design
4. Practical exercises

Constraints:
- Industry accreditation
- Blended learning
- Completion tracking

Output Format: Curriculum guide with LMS upload.

Company: TechStart
Audience: partners
Ref: 1967-AER",high,88,B,0.34,5,5,4,5,No quality standards | Unclear ownership | Compliance requirements listed | No accessibility considerations | Reference materials cited
100035,document,"Help me create a document focused on telecommunications. It needs to be clear and organized. Target audience is managers.

Company: TechStart
Ref: 9529-TEL",medium,66,D,0.39,2,3,4,2,Strong constraints provided | Feedback mechanism included
100036,document,"Task: document for banking project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Timeline: Q2 2024
Ref: 2431-BAN",medium,65,D,0.41,2,3,4,3,Timeline specified | Output format specified | Strong constraints provided | Technical requirements clear | Missing examples
100037,other,"Role: UX researcher conducting real estate user interviews.

Task: Design and execute user research study for real estate product.

Instructions:
1. Recruitment screener
2. Interview protocol
3. Affinity mapping
4. Journey mapping

Constraints:
- 8-12 participants
- 60-minute sessions
- Incentive management

Output Format: Research plan and findings report.

Product: energy module
Ref: 5150-REA",high,95,A,0.81,5,5,4,5,Detailed methodology included | Ambiguous target audience | Specific deliverables mentioned
100038,other,"other real estate help

Audience: developers
Ref: 7233-REA",low,30,F,0.69,1,1,1,1,No deadline specified | Technical requirements clear | No fallback options | Strong constraints provided
100039,data_analysis,"Role: Business intelligence analyst for sports sales.

Task: Build sales forecasting model for sports quarterly planning.

Instructions:
1. Historical data analysis
2. Seasonal decomposition
3. Machine learning model
4. Confidence intervals

Constraints:
- 95% accuracy target
- Real-time updating
- Stakeholder presentation

Output Format: Python script with PowerPoint results.

Product: legal dashboard
Timeline: by end of year
Ref: 7098-SPO",high,97,A,0.9,4,5,5,5,Missing data source | Feedback mechanism included | Compliance requirements listed | No fallback options | No deadline specified
100040,data_analysis,"Role: Operations analyst optimizing biotech supply chain.

Task: Analyze biotech logistics data for efficiency improvements.

Instructions:
1. Route optimization analysis
2. Inventory turnover metrics
3. Cost-benefit modeling
4. Bottleneck identification

Constraints:
- Lean methodology
- ROI calculations
- Implementation roadmap

Output Format: Excel model with PowerPoint recommendations.

Platform: React
Ref: 8171-BIO",high,88,B,0.32,5,4,4,4,Missing budget context | Detailed methodology included | Lacks formatting guidance
100041,video,"I need a video for healthcare purposes. It should cover the main points and be around medium length. Please include examples if possible.

Company: Quantum Dynamics
Audience: analysts
Ref: 6682-HEA",medium,71,C,0.59,2,2,3,3,Professional tone maintained | Detailed methodology included | Stakeholders identified | No accessibility considerations | Success metrics defined
100042,presentation,"Task: presentation for finance project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Company: Future Systems
Audience: employees
Timeline: Q1 2024
Ref: 1992-FIN",medium,68,D,0.41,4,2,4,4,Compliance requirements listed | Ambiguous target audience
100043,report,"Role: Competitive intelligence analyst in agriculture sector.

Task: Create competitive landscape analysis report.

Instructions:
1. Market share data
2. Competitor SWOT analysis
3. Pricing comparison
4. Strategic recommendations

Constraints:
- Primary and secondary research
- Confidential handling
- Quarterly updates

Output Format: PowerPoint with supporting Excel data.

Product: consulting module
Ref: 6913-AGR",high,90,A,0.15,5,5,5,4,Actionable instructions | Success metrics defined | Compliance requirements listed | Technical requirements clear | Ambiguous target audience
100044,video,"video request: cybersecurity focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Pinnacle Co
Ref: 2150-CYB",medium,68,D,0.41,3,4,4,2,Clear role definition | Feedback mechanism included
100045,email,"Create email content for banking use case. Structure: problem, solution, results. Make it persuasive.

Company: Synergy Works
Product: consulting suite
Timeline: annual
Ref: 4588-BAN",medium,72,C,0.3,2,2,4,2,Actionable instructions | Scope clearly defined | No fallback options | Lacks success criteria
100046,code,"code request: sports focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Product: telecommunications suite
Platform: AWS
Ref: 9871-SPO",medium,69,D,0.36,4,4,4,2,Vague objective statement | Lacks formatting guidance | Measurable outcomes stated
100047,video,"Working on a video for consulting team. Needs to be informative but not too technical. Include actionable items.

Company: Nexus Group
Audience: managers
Ref: 6950-CON",medium,65,D,0.37,2,4,2,2,Dependencies outlined | Detailed methodology included | Feedback mechanism included | Incomplete background info
100048,email,"Develop a email about marketing strategy. Include market analysis and recommendations. Business audience.

Ref: 4937-MAR",medium,78,C,0.49,2,2,4,2,Comprehensive context provided | Success metrics defined | Incomplete background info | Reference materials cited | Specific deliverables mentioned
100049,image,"Role: Digital artist specializing in marketing visualizations.

Task: Create an infographic showing marketing market trends for 2024.

Instructions:
1. Research current statistics
2. Design data visualizations (charts, graphs)
3. Use consistent iconography
4. Include source citations

Constraints:
- A4 portrait format
- Print-ready (300 DPI)
- Brand colors: teal and white

Output Format: High-resolution PNG and editable AI file.

Product: telecommunications framework
Audience: investors
Timeline: weekly
Ref: 3305-MAR",high,97,A,0.51,5,4,5,4,No escalation path | Well-structured sections
100050,other,"Need assistance with other for entertainment client. Key points to cover: overview, benefits, implementation. Thanks!

Product: energy framework
Audience: end users
Timeline: Q4 2024
Ref: 7224-ENT",medium,82,B,0.41,3,2,2,2,No review process | Unclear ownership | Missing data source | Reference materials cited | Missing budget context
100051,other,"Role: Strategy consultant advising energy transformation.

Task: Develop digital transformation roadmap for energy organization.

Instructions:
1. Current state assessment
2. Future state vision
3. Gap analysis
4. Implementation phases

Constraints:
- Executive sponsorship
- Change management
- Technology stack

Output Format: Strategy deck with roadmap timeline.

Product: telecommunications network
Audience: developers
Platform: PostgreSQL
Ref: 9030-ENE",high,96,A,0.23,4,5,5,5,Measurable outcomes stated | Dependencies outlined | Professional tone maintained | Technical requirements clear
100052,email,"Role: Sales development representative for e-commerce solutions.

Task: Write cold outreach email sequence (5 emails) for e-commerce prospects.

Instructions:
1. Personalized opening lines
2. Value proposition clarity
3. Social proof inclusion
4. Soft to direct CTAs

Constraints:
- Spam filter optimization
- A/B test variations
- Follow-up timing strategy

Output Format: Email templates with personalization fields.

Audience: analysts
Ref: 5207-E-C",high,99,A,0.76,5,4,4,5,Actionable instructions | No accessibility considerations | Unclear ownership | Missing budget context
100053,other,"Role: Training developer for pharmaceutical certification.

Task: Design certification program curriculum for pharmaceutical professionals.

Instructions:
1. Learning objectives
2. Module structure (10 modules)
3. Assessment design
4. Practical exercises

Constraints:
- Industry accreditation
- Blended learning
- Completion tracking

Output Format: Curriculum guide with LMS upload.

Company: Apex Enterprises
Ref: 6039-PHA",high,94,A,0.68,5,5,4,4,Technical requirements clear | Incomplete background info | Success metrics defined | Output format specified | Inconsistent terminology
100054,post,"post pharmaceutical help

Timeline: this month
Ref: 3992-PHA",low,24,F,0.81,3,2,1,1,Feedback mechanism included | Lacks success criteria
100055,report,"Create a report about consulting. Include some best practices and make it professional. Should be useful for a team meeting.

Ref: 6913-CON",medium,74,C,0.35,4,3,3,4,Assumptions documented | Timeline specified | Missing budget context | Ambiguous target audience | Comprehensive context provided
100056,data_analysis,"Create data_analysis content for consulting use case. Structure: problem, solution, results. Make it persuasive.

Product: consulting platform
Ref: 2870-CON",medium,68,D,0.4,4,2,2,3,Scope clearly defined | Reference materials cited
100057,code,"Working on a code for insurance team. Needs to be informative but not too technical. Include actionable items.

Timeline: FY2024
Ref: 8051-INS",medium,76,C,0.47,4,2,4,2,Clear role definition | Inconsistent terminology | Actionable instructions | Feedback mechanism included
100058,presentation,"presentation request: marketing focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Synergy Works
Product: telecommunications suite
Ref: 1150-MAR",medium,65,D,0.58,2,4,3,4,Ambiguous target audience | Missing glossary | Feedback mechanism included | Technical requirements clear
100059,presentation,"Role: Sales engineer creating automotive product demos.

Task: Build interactive product presentation for automotive clients.

Instructions:
1. Company overview (2 slides)
2. Product features with screenshots
3. ROI calculator section
4. Implementation timeline

Constraints:
- Customizable for different clients
- Professional color scheme
- Embedded video demos

Output Format: PowerPoint with embedded media and Excel calculator.

Ref: 1331-AUT",high,86,B,0.34,5,5,4,4,Incomplete background info | Missing data source | Timeline specified
100060,video,"Role: Motion graphics designer for pharmaceutical presentations.

Task: Create animated explainer video about pharmaceutical processes.

Instructions:
1. Write 90-second script
2. Design custom illustrations
3. Animate with smooth transitions
4. Add professional voiceover

Constraints:
- After Effects project
- 1080p resolution
- Brand-consistent animation style

Output Format: AE project files with rendered video.

Audience: developers
Timeline: monthly
Ref: 9159-PHA",high,92,A,0.12,5,5,5,4,Well-structured sections | Clear role definition
100061,creative,"make a creative about e-commerce

Ref: 7648-E-C",low,23,F,0.13,2,1,1,2,Output format specified | No deadline specified
100062,code,"do a code about entertainment things

Company: Synergy Works
Audience: clients
Ref: 1624-ENT",low,54,F,0.75,1,2,2,1,No risk assessment | No deadline specified
100063,report,"Role: Sustainability consultant for research companies.

Task: Produce ESG (Environmental, Social, Governance) impact report.

Instructions:
1. Carbon footprint analysis
2. Social impact metrics
3. Governance structure review
4. Future commitments

Constraints:
- GRI standards compliance
- Third-party verification
- Stakeholder engagement

Output Format: PDF report with data appendices.

Company: Nexus Group
Product: real estate system
Audience: clients
Ref: 8121-RES",high,93,A,0.3,5,4,4,4,Clear role definition | Comprehensive context provided
100064,report,"report transportation help

Company: Innovate Inc
Audience: marketing team
Ref: 7162-TRA",low,29,F,0.82,1,2,1,1,Missing glossary | Timeline specified | Missing budget context | Missing data source
100065,image,"Role: UI/UX designer for consulting applications.

Task: Design a mobile app onboarding flow with 5 screens.

Instructions:
1. Create wireframes first, then high-fidelity mockups
2. Include progress indicators
3. Design for iOS and Android
4. Add micro-interaction specifications

Constraints:
- Follow Material Design 3 guidelines
- Accessible color contrast (4.5:1 minimum)
- Figma deliverables

Output Format: Figma file link with component library.

Ref: 8662-CON",high,86,B,0.39,5,4,4,5,Strong constraints provided | Measurable outcomes stated | Lacks formatting guidance | Unclear ownership
100066,document,"Role: Grant writer for agriculture nonprofit.

Task: Write compelling grant proposal for agriculture initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Product: telecommunications interface
Timeline: this month
Ref: 9440-AGR",high,91,A,0.2,4,4,4,4,Inconsistent terminology | Lacks success criteria
100067,report,"Looking for a report about entertainment trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 2062-ENT",medium,82,B,0.43,4,4,2,3,Scope clearly defined | Comprehensive context provided | Professional tone maintained | Success metrics defined
100068,email,"Create a email about consulting. Include some best practices and make it professional. Should be useful for a team meeting.

Product: entertainment platform
Ref: 1382-CON",medium,65,D,0.52,3,3,2,2,Comprehensive context provided | Unclear ownership | Vague objective statement | Reference materials cited | Technical requirements clear
100069,post,"Role: Blog writer for finance publication.

Task: Write 5 in-depth blog posts (1500 words each) on finance topics.

Instructions:
1. SEO-optimized headlines
2. Original research or insights
3. Expert quotes and citations
4. Clear CTAs

Constraints:
- Keyword integration
- Readable formatting (H2, H3, bullets)
- Meta descriptions

Output Format: Word documents with HTML formatting.

Ref: 6080-FIN",high,100,A,0.79,5,4,5,5,Stakeholders identified | Clear role definition | Measurable outcomes stated
100070,post,"Role: Twitter/X content creator for e-commerce influencer.

Task: Develop 30-day tweet thread series on e-commerce insights.

Instructions:
1. Educational thread hooks
2. Data-driven arguments
3. Engagement questions
4. Visual asset coordination

Constraints:
- Character limits respected
- Consistent posting times
- Community engagement plan

Output Format: Spreadsheet with scheduled tweets and media links.

Audience: clients
Ref: 5194-E-C",high,85,B,0.15,4,5,5,5,Detailed methodology included | Ambiguous target audience
100071,presentation,"Role: Executive presentation designer for pharmaceutical leadership.

Task: Create investor pitch deck (12-15 slides) for pharmaceutical startup.

Instructions:
1. Problem/Solution framework
2. Market size and opportunity
3. Business model explanation
4. Financial projections (3-year)

Constraints:
- Clean, minimalist design
- Data visualizations for key metrics
- Consistent typography

Output Format: PowerPoint file with speaker notes.

Company: Nexus Group
Timeline: annual
Ref: 7365-PHA",high,88,B,0.73,4,5,4,5,Unclear ownership | No escalation path | Ambiguous target audience | Reference materials cited | Stakeholders identified
100072,other,"Create a other about automotive. Include some best practices and make it professional. Should be useful for a team meeting.

Audience: analysts
Ref: 1019-AUT",medium,72,C,0.45,2,3,3,3,Missing data source | Missing budget context | No escalation path | No fallback options | Technical requirements clear
100073,creative,"Role: Game narrative designer for cybersecurity simulation game.

Task: Develop branching storyline with 5 endings for cybersecurity tycoon game.

Instructions:
1. Character backstories
2. Decision trees
3. Dialogue scripts
4. World-building lore

Constraints:
- Player agency emphasis
- Meaningful choices
- Localization-ready

Output Format: Narrative design document with flowcharts.

Timeline: ASAP
Ref: 6817-CYB",high,85,B,0.22,5,4,5,5,Dependencies outlined | Ambiguous target audience | Version control noted
100074,creative,"Role: Screenwriter for legal documentary series.

Task: Create pilot episode script (30 pages) about legal pioneers.

Instructions:
1. Opening hook scene
2. Character introductions
3. Narrative arc
4. Visual direction notes

Constraints:
- Industry-standard format
- Dialogue authenticity
- B-roll suggestions

Output Format: Final Draft or Celtx screenplay file.

Company: Nexus Group
Product: pharmaceutical service
Audience: marketing team
Ref: 7113-LEG",high,87,B,0.83,5,4,5,4,Well-structured sections | Stakeholders identified | No accessibility considerations | No review process | Success metrics defined
100075,data_analysis,"data_analysis technology help

Audience: developers
Ref: 2127-TEC",low,31,F,0.53,1,1,1,2,No escalation path | Missing data source | No accessibility considerations
100076,email,"Role: HR communications specialist for real estate company.

Task: Write company-wide announcement email about real estate policy changes.

Instructions:
1. Clear subject line
2. Context and rationale
3. Specific changes
4. Action items and deadlines

Constraints:
- Professional tone
- Accessibility formatting
- FAQ attachment

Output Format: HTML email with plain text version.

Product: manufacturing application
Ref: 7802-REA",high,99,A,0.17,4,4,5,4,Stakeholders identified | Inconsistent terminology | No deadline specified
100077,code,"Help me create a code focused on entertainment. It needs to be clear and organized. Target audience is managers.

Timeline: annual
Platform: MongoDB
Ref: 5799-ENT",medium,84,B,0.36,3,2,2,4,No escalation path | Measurable outcomes stated | Feedback mechanism included | Success metrics defined | No fallback options
100078,image,"Working on a image for aerospace team. Needs to be informative but not too technical. Include actionable items.

Company: Fusion Brands
Product: energy engine
Audience: marketing team
Ref: 4564-AER",medium,79,C,0.42,4,2,3,4,No fallback options | Feedback mechanism included
100079,post,"Role: Community manager for entertainment forum.

Task: Create discussion prompts for entertainment professional community.

Instructions:
1. Weekly discussion topics
2. AMA (Ask Me Anything) formats
3. Poll questions
4. Resource sharing posts

Constraints:
- Inclusive language
- Moderation guidelines
- Growth-focused content

Output Format: Content plan with engagement metrics.

Ref: 5347-ENT",high,86,B,0.73,5,4,5,4,Detailed methodology included | Timeline specified | Ambiguous target audience
100080,email,"email needed asap cybersecurity

Product: transportation platform
Audience: executives
Timeline: annual
Ref: 7626-CYB",low,27,F,0.14,2,2,2,2,Dependencies outlined | Ambiguous target audience
100081,email,"Working on a email for transportation team. Needs to be informative but not too technical. Include actionable items.

Company: Nexus Group
Audience: stakeholders
Ref: 2551-TRA",medium,67,D,0.52,4,3,2,4,No deadline specified | No accessibility considerations | Unclear ownership | Detailed methodology included
100082,other,"other request: research focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Ref: 9688-RES",medium,81,B,0.42,4,2,2,2,Scope clearly defined | Professional tone maintained
100083,creative,"make a creative about sports

Product: finance suite
Timeline: this month
Ref: 4951-SPO",low,23,F,0.55,2,1,1,1,Professional tone maintained | Vague objective statement | No quality standards
100084,code,"need code for finance stuff

Product: telecommunications portal
Audience: developers
Ref: 6524-FIN",low,51,F,0.77,2,1,1,2,Timeline specified | Missing data source | Missing budget context | Technical requirements clear | Output format specified
100085,data_analysis,"Create a data_analysis about journalism. Include some best practices and make it professional. Should be useful for a team meeting.

Ref: 5309-JOU",medium,71,C,0.49,2,2,3,4,Strong constraints provided | Reference materials cited | Missing budget context | Measurable outcomes stated
100086,report,"Need assistance with report for sports client. Key points to cover: overview, benefits, implementation. Thanks!

Audience: managers
Ref: 7070-SPO",medium,67,D,0.54,2,4,2,4,No escalation path | Well-structured sections | Measurable outcomes stated | Ambiguous target audience | Lacks formatting guidance
100087,post,"Role: Blog writer for nonprofit publication.

Task: Write 5 in-depth blog posts (1500 words each) on nonprofit topics.

Instructions:
1. SEO-optimized headlines
2. Original research or insights
3. Expert quotes and citations
4. Clear CTAs

Constraints:
- Keyword integration
- Readable formatting (H2, H3, bullets)
- Meta descriptions

Output Format: Word documents with HTML formatting.

Ref: 3208-NON",high,95,A,0.66,4,5,5,4,Assumptions documented | Success metrics defined | No deadline specified | Ambiguous target audience
100088,video,"telecommunications video please

Product: research tool
Audience: marketing team
Timeline: monthly
Ref: 8203-TEL",low,25,F,0.59,2,1,1,1,Professional tone maintained | Missing data source | No deadline specified | Measurable outcomes stated
100089,post,"make a post about transportation

Company: Apex Enterprises
Audience: partners
Ref: 6018-TRA",low,28,F,0.2,2,2,1,1,No escalation path | Inconsistent terminology | Vague objective statement
100090,data_analysis,"Create data_analysis content for pharmaceutical use case. Structure: problem, solution, results. Make it persuasive.

Company: Nexus Group
Audience: developers
Timeline: Q3 2024
Ref: 7379-PHA",medium,72,C,0.35,3,4,2,4,Compliance requirements listed | Measurable outcomes stated | No fallback options
100091,video,"Develop a video about consulting strategy. Include market analysis and recommendations. Business audience.

Company: Horizon Labs
Product: biotech tool
Ref: 8442-CON",medium,84,B,0.47,3,4,4,4,Professional tone maintained | Missing data source | Unclear ownership | No escalation path
100092,data_analysis,"data_analysis needed asap research

Product: journalism suite
Platform: Java
Ref: 5606-RES",low,25,F,0.7,3,2,2,1,Specific deliverables mentioned | Reference materials cited | Unclear ownership | Professional tone maintained
