id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
35,email,"Role: Customer success manager in engineering industry.
Task: Draft a response to a customer complaint about analyze website traffic patterns.
Instructions: Empathetic, solution-focused, reinforce relationship.
Constraints: Acknowledge issue, provide timeline, offer compensation if appropriate.
Output Format: Email draft + internal escalation notes.",high,90,A,0.12,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
36,image,analyze supply chain efficiency visual,low,60,D,0.9,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
37,data_analysis,"Role: Business intelligence analyst for product management operations.
Task: Create a dashboard specification for tracking create FAQ document.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,91,A,0.17,4,5,5,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
38,code,develop project timeline script needed asap,low,45,F,0.63,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
39,document,"Role: Technical writer specializing in real estate documentation.
Task: Create a user manual section for design marketing campaign visuals.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,87,B,0.18,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
40,creative,Draft narrative about develop mobile responsiveness fix set in legal world.,medium,70,C,0.53,4,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
41,report,analysis of automate data entry processes,low,60,D,0.66,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
42,other,help with create crisis management protocol,low,55,F,0.61,2,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
43,other,Outline approach to design email newsletter template for engineering initiative.,medium,77,C,0.54,2,3,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
44,code,"Role: Senior developer specializing in nonprofit systems.
Task: Debug and optimize the following code that implement payment processing.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,87,B,0.13,5,4,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
45,code,"Role: Senior developer specializing in design systems.
Task: Debug and optimize the following code that create user survey questions.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,92,A,0.13,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
46,other,Outline approach to analyze product usage metrics for education initiative.,medium,80,B,0.52,4,4,2,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
47,data_analysis,Review create crisis management protocol metrics for strategy performance. Find trends.,medium,78,C,0.51,4,4,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
48,document,"Role: Technical writer specializing in legal documentation.
Task: Create a user manual section for analyze churn rate factors.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,86,B,0.13,5,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
49,report,"Role: Senior analyst for retail research.
Task: Write an executive summary for a report on create policy compliance guide.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,87,B,0.19,4,5,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
50,image,"Role: UI/UX designer for technology products.
Task: Design a mockup for automate data entry processes.
Instructions: Follow modern UI trends, prioritize accessibility.
Constraints: Must comply with WCAG 2.1 AA standards.
Output Format: Wireframe description + visual design specs + interaction notes.",high,96,A,0.06,4,4,5,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
51,email,"Role: Executive assistant supporting sales leadership.
Task: Write a meeting request email for create competitor analysis.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,89,B,0.13,5,5,5,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
52,video,Script needed for write grant proposal video. Educational content for transportation beginners.,medium,81,B,0.53,2,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
53,report,"Role: Senior analyst for marketing research.
Task: Write an executive summary for a report on write customer case study.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,92,A,0.09,4,4,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
54,presentation,create competitor analysis talk slides,low,51,F,0.77,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
55,creative,Write creative piece about create FAQ document in media context. Engaging style.,medium,76,C,0.48,2,3,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
56,other,"Role: Strategy consultant for agriculture organizations.
Task: Develop a strategic recommendation for design webinar presentation.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,97,A,0.2,4,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
57,creative,Create story featuring analyze supply chain efficiency for real estate audience. 500 words.,medium,71,C,0.49,3,4,2,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
58,data_analysis,analyze market trends data check,low,52,F,0.65,2,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
59,presentation,"Role: Training facilitator for technology programs.
Task: Design a workshop presentation on generate monthly sales reports.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,88,B,0.22,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
60,document,build chatbot for customer support paper needed,low,51,F,0.86,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
61,document,Write documentation for build data pipeline in manufacturing setting. Clear and thorough.,medium,69,D,0.49,4,2,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
62,report,analyze market trends review,low,29,F,0.73,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
63,presentation,Slides needed: optimize database queries overview for marketing team meeting.,medium,75,C,0.51,4,4,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
64,other,"Role: Project manager for operations initiatives.
Task: Create a project plan for create vendor evaluation criteria.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,92,A,0.15,5,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
65,post,Draft announcement about analyze product usage metrics for technology community.,medium,66,D,0.44,4,3,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
66,post,Create content about develop quality assurance checklist for nonprofit blog. Informative but casual.,medium,73,C,0.46,2,2,2,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
67,report,analysis of write technical documentation,low,38,F,0.63,1,2,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
68,document,Draft document explaining develop content calendar to hospitality audience.,medium,67,D,0.53,2,4,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
69,email,write analyze employee satisfaction data mail,low,32,F,0.69,1,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
70,code,I need a function that can design marketing campaign visuals. It should be in Python and work for strategy data.,medium,65,D,0.53,3,2,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
71,report,"Role: Compliance auditor for consulting operations.
Task: Prepare an audit report on write job description.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,98,A,0.09,4,4,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
72,email,"Role: Executive assistant supporting engineering leadership.
Task: Write a meeting request email for write executive briefing.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,85,B,0.14,5,5,4,4,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
73,image,"Role: Professional graphic designer specializing in energy visuals.
Task: Create an image depicting develop risk assessment framework.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,91,A,0.22,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
74,document,Draft document explaining write press release to government audience.,medium,76,C,0.41,3,4,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
75,code,Write code to write grant proposal for a customer service application. Make sure it works well and handles errors.,medium,81,B,0.5,2,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
76,data_analysis,Review build chatbot for customer support metrics for manufacturing performance. Find trends.,medium,66,D,0.45,3,3,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
77,video,"Role: Corporate video director for engineering communications.
Task: Plan a promotional video showcasing develop content calendar.
Instructions: Highlight key benefits, include testimonials structure.
Constraints: 90 seconds maximum, professional tone.
Output Format: Concept summary + shot list + script outline.",high,97,A,0.16,4,5,4,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
78,data_analysis,Review create crisis management protocol metrics for science performance. Find trends.,medium,73,C,0.47,4,3,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
79,data_analysis,"Role: Business intelligence analyst for media operations.
Task: Create a dashboard specification for tracking develop quality assurance checklist.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,88,B,0.23,4,4,5,5,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
80,code,"Role: Senior developer specializing in science systems.
Task: Debug and optimize the following code that design email newsletter template.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,93,A,0.24,5,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
81,creative,write build dashboard for KPI tracking thing,low,43,F,0.92,2,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
82,data_analysis,Data task: design marketing campaign visuals analysis for science report.,medium,83,B,0.51,4,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
83,code,I need a function that can design mobile app interface. It should be in Python and work for transportation data.,medium,72,C,0.33,3,4,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
84,code,fix my code about analyze supply chain efficiency,low,53,F,0.77,2,2,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
85,other,Plan implement payment processing for human resources project. Include timeline and resources.,medium,76,C,0.35,3,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
86,video,clip showing create policy compliance guide,low,31,F,0.72,2,1,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
87,presentation,powerpoint build recommendation engine,low,26,F,0.73,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
88,post,Write social post about develop content calendar for nonprofit company. Engaging tone.,medium,69,D,0.32,2,4,4,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
89,email,Email needed: create employee onboarding materials proposal for technology prospect.,medium,72,C,0.36,2,3,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
90,image,draw create investor pitch materials,low,53,F,0.87,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
91,video,make create competitor analysis video,low,38,F,0.94,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
92,email,Write email about create stakeholder communication plan to engineering client. Professional tone.,medium,67,D,0.35,2,3,2,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
93,video,video about write customer case study,low,38,F,0.74,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
94,post,Post needed: design event invitation update for entertainment followers.,medium,81,B,0.41,3,3,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
95,code,"Create a script for design logo and brand identity. Requirements: efficient, documented, tested.",medium,82,B,0.47,4,3,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
96,video,Plan a video showing analyze churn rate factors. This is for our technology department.,medium,68,D,0.49,2,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
97,code,"Create a script for design mobile app interface. Requirements: efficient, documented, tested.",medium,75,C,0.45,3,2,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
98,presentation,"Role: Executive presentation designer for nonprofit consulting.
Task: Create a 12-slide deck about develop mobile responsiveness fix.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,85,B,0.21,5,5,5,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
99,report,Research and report on implement payment processing affecting education operations.,medium,78,C,0.52,4,4,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
100,report,"Role: Senior analyst for engineering research.
Task: Write an executive summary for a report on write customer case study.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,90,A,0.13,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
101,image,I need visuals showing analyze customer feedback patterns. These are for a transportation presentation.,medium,71,C,0.33,2,3,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
102,document,analyze supply chain efficiency writeup,low,57,F,0.74,1,1,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
103,post,Post needed: analyze customer feedback patterns update for energy followers.,medium,72,C,0.44,4,3,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
104,email,reply to analyze churn rate factors,low,42,F,0.79,1,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
105,data_analysis,"Role: Business intelligence analyst for energy operations.
Task: Create a dashboard specification for tracking create stakeholder communication plan.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,89,B,0.08,5,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
106,data_analysis,Examine write product launch announcement patterns in energy dataset. Provide findings.,medium,84,B,0.36,3,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
107,report,Analyze create training video content and write report for science leadership. Include findings.,medium,72,C,0.37,2,2,3,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
108,post,Create content about create social media strategy for design blog. Informative but casual.,medium,76,C,0.35,4,2,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
109,code,Write code to build API integration for a retail application. Make sure it works well and handles errors.,medium,78,C,0.4,3,3,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
110,document,Draft document explaining analyze market trends to healthcare audience.,medium,69,D,0.32,2,3,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
111,creative,"Role: Creative writer specializing in agriculture narratives.
Task: Write a short story opening (500 words) about create social media strategy.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,97,A,0.14,4,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
112,video,create social media strategy movie,low,62,D,0.68,2,2,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
113,other,"Role: Product manager for technology solutions.
Task: Write product requirements for build data pipeline.
Instructions: User stories, acceptance criteria, prioritization.
Constraints: MVP scope, 3-month development cycle.
Output Format: PRD with user stories + feature list + success metrics.",high,93,A,0.23,4,5,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
114,video,make create stakeholder communication plan video,low,28,F,0.91,2,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
115,video,"Role: Professional video producer for environment content.
Task: Create a storyboard for a 3-minute video about create competitor analysis.
Instructions: Include shot composition, transitions, and pacing notes.
Constraints: Must be engaging for social media, include captions.
Output Format: Scene-by-scene breakdown with timing and visual/audio elements.",high,94,A,0.2,5,5,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
116,image,"Role: Professional graphic designer specializing in strategy visuals.
Task: Create an image depicting analyze website traffic patterns.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,93,A,0.08,4,4,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
117,report,"Role: Market researcher focusing on retail trends.
Task: Analyze and report on build recommendation engine.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,89,B,0.17,5,4,4,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
118,creative,Create story featuring analyze employee satisfaction data for environment audience. 500 words.,medium,73,C,0.46,3,4,2,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
119,other,develop project timeline plan,low,53,F,0.65,2,2,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
120,document,Draft document explaining build automated testing suite to operations audience.,medium,72,C,0.32,3,2,2,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
121,data_analysis,"Role: Business intelligence analyst for finance operations.
Task: Create a dashboard specification for tracking implement payment processing.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,87,B,0.07,4,5,5,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
122,creative,"Role: Brand storyteller for real estate companies.
Task: Create a brand origin story about analyze churn rate factors.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,91,A,0.19,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
123,presentation,slides on write press release,low,43,F,0.84,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
124,code,"Role: You are an experienced manufacturing software engineer.
Task: Write a Python function to build API integration.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,85,B,0.15,5,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
